EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
"Sb, 23 aprilie 2022",30,24,23,29,41,18,REPORT,"0,00","3.190.320,80",7,"27.752,51","0,00",497,"390,88","0,00",11.361,"30,00","0,00"
"Du, 17 aprilie 2022",20,16,13,35,25,19,REPORT,"440.546,40","2.607.518,00",13,"11.296,06","0,00",665,"220,82","0,00",12.104,"30,00","0,00"
"Jo, 14 aprilie 2022",10,12,27,49,15,21,REPORT,"250.372,80","2.166.971,60",8,"31.432,30","0,00",406,"205,56","0,00",7.169,"30,00","0,00"
"Du, 10 aprilie 2022",40,33,36,35,43,4,REPORT,"504.002,40","1.916.598,80",REPORT,"168.000,80","168.000,80",203,"827,59","0,00",5.968,"30,00","0,00"
"Jo, 7 aprilie 2022",49,8,48,5,11,19,REPORT,"232.430,40","1.412.596,40",5,"15.495,36","0,00",309,"250,73","0,00",5.484,"30,00","0,00"
"Du, 3 aprilie 2022",25,20,11,49,34,27,REPORT,"441.831,60","1.180.166,00",7,"32.388,85","0,00",542,"271,72","0,00",8.934,"30,00","0,00"
"Jo, 31 martie 2022",8,40,30,35,18,7,REPORT,"238.334,40","738.334,40",REPORT,"79.444,80","79.444,80",191,"415,94","0,00",4.018,"30,00","0,00"
"Du, 27 martie 2022",7,31,9,13,8,3,1,"14.823.497,68","0,00",35,"4.278,19","0,00",1.319,"113,52","0,00",18.148,"30,00","0,00"
"Jo, 24 martie 2022",46,38,39,22,3,5,REPORT,"368.726,40","14.374.287,28",1,"122.908,80","0,00",247,"497,60","0,00",5.748,"30,00","0,00"
"Du, 20 martie 2022",7,2,13,19,46,24,REPORT,"508.123,20","14.005.560,88",36,"4.704,84","0,00",1.261,"134,31","0,00",17.111,"30,00","0,00"
"Jo, 17 martie 2022",8,2,32,9,39,6,REPORT,"367.252,80","13.497.437,68",2,"61.208,80","0,00",357,"342,90","0,00",7.006,"30,00","0,00"
"Du, 13 martie 2022",18,17,28,39,15,43,REPORT,"591.360,00","13.130.184,88",6,"32.853,33","0,00",565,"348,88","0,00",10.933,"30,00","0,00"
"Jo, 10 martie 2022",42,24,16,48,5,4,REPORT,"306.274,80","12.538.824,88",2,"51.045,80","0,00",278,"367,23","0,00",5.855,"30,00","0,00"
"Du, 6 martie 2022",19,42,41,18,34,28,REPORT,"479.901,60","11.593.274,48",8,"19.995,90","0,00",290,"551,61","0,00",6.622,"30,00","0,00"
"Jo, 3 martie 2022",44,38,10,11,24,21,REPORT,"272.193,60","11.113.372,88",4,"22.682,80","0,00",268,"338,54","0,00",5.068,"30,00","0,00"
"Du, 27 februarie 2022",49,24,47,18,40,10,REPORT,"1.101.984,72","10.841.179,28",8,"45.916,03","0,00",499,"736,12","0,00",10.311,"30,00","0,00"
"Du, 20 februarie 2022",46,20,37,25,32,8,REPORT,"575.815,20","9.639.194,56",12,"15.994,86","0,00",559,"343,36","0,00",9.683,"30,00","0,00"
"Jo, 17 februarie 2022",45,12,26,11,44,37,REPORT,"339.741,60","9.063.379,36",1,"113.247,20","0,00",238,"475,82","0,00",5.9,"30,00","0,00"
"Du, 13 februarie 2022",32,3,7,40,37,14,REPORT,"557.955,60","8.723.637,76",11,"16.907,74","0,00",668,"278,42","0,00",11.441,"30,00","0,00"
"Jo, 10 februarie 2022",41,13,27,48,23,29,REPORT,"294.439,20","8.165.682,16",5,"19.629,28","0,00",296,"331,57","0,00",6.568,"30,00","0,00"
"Du, 6 februarie 2022",49,33,23,16,10,7,REPORT,"483.945,60","7.871.242,96",12,"13.442,93","0,00",727,"221,89","0,00",12.539,"30,00","0,00"
"Jo, 3 februarie 2022",21,41,1,26,7,29,REPORT,"304.324,80","7.387.297,36",3,"33.813,86","0,00",316,"321,01","0,00",6.099,"30,00","0,00"
"Du, 30 ianuarie 2022",40,12,29,16,48,47,REPORT,"564.204,00","7.082.972,56",3,"62.689,33","0,00",283,"664,55","0,00",7.1,"30,00","0,00"
"Jo, 27 ianuarie 2022",46,3,18,16,48,32,REPORT,"309.049,20","6.518.768,56",3,"34.338,80","0,00",208,"495,27","0,00",4.316,"30,00","0,00"
"Du, 23 ianuarie 2022",46,29,3,33,40,26,REPORT,"525.055,20","6.209.719,36",7,"25.002,62","0,00",546,"320,54","0,00",8.64,"30,00","0,00"
"Jo, 20 ianuarie 2022",46,28,48,7,3,14,REPORT,"282.760,80","5.684.664,16",5,"18.850,72","0,00",374,"252,01","0,00",6.28,"30,00","0,00"
"Du, 16 ianuarie 2022",13,42,40,14,37,23,REPORT,"537.301,20","5.401.903,36",2,"89.550,20","0,00",453,"395,36","0,00",9.007,"30,00","0,00"
"Jo, 13 ianuarie 2022",29,12,23,42,27,10,REPORT,"253.339,20","4.864.602,16",3,"28.148,80","0,00",422,"200,10","0,00",7.444,"30,00","0,00"
"Du, 9 ianuarie 2022",7,26,5,48,49,25,REPORT,"447.130,80","4.611.262,96",4,"37.260,90","0,00",456,"326,85","0,00",9.264,"30,00","0,00"
"Jo, 6 ianuarie 2022",44,36,29,25,34,14,REPORT,"314.368,80","4.164.132,16",7,"14.969,94","0,00",355,"295,18","0,00",6.31,"30,00","0,00"
"Vi, 31 decembrie 2021",37,27,43,4,38,39,REPORT,"0,00","2.669.734,96",6,"52.306,46","0,00",508,"617,79","0,00",11.905,"30,00","0,00"
"Vi, 24 decembrie 2021",2,17,15,12,14,23,REPORT,"666.230,16","1.728.218,56",9,"24.675,19","0,00",590,"376,40","0,00",11.741,"30,00","0,00"
"Du, 19 decembrie 2021",15,19,13,3,44,5,REPORT,"324.259,20","961.988,40",12,"9.007,20","0,00",699,"154,63","0,00",11.092,"30,00","0,00"
"Jo, 16 decembrie 2021",3,28,39,27,5,7,REPORT,"187.729,20","637.729,20",7,"8.939,48","0,00",279,"224,28","0,00",5.732,"30,00","0,00"
"Du, 12 decembrie 2021",39,14,24,44,20,37,1,"5.606.404,00","0,00",14,"10.801,42","0,00",366,"413,16","0,00",7.363,"30,00","0,00"
"Jo, 9 decembrie 2021",25,28,2,14,4,43,REPORT,"220.232,40","5.152.744,00",4,"18.352,70","0,00",308,"238,34","0,00",4.935,"30,00","0,00"
"Du, 5 decembrie 2021",16,10,15,18,40,4,REPORT,"4.236.656,00","7.497.814,40",8,"19.812,40","0,00",461,"343,81","0,00",9.948,"30,00","0,00"
"Du, 28 noiembrie 2021",12,17,31,29,27,48,REPORT,"405.166,80","3.761.158,40",8,"16.881,95","0,00",483,"279,61","0,00",8.94,"30,00","0,00"
"Jo, 25 noiembrie 2021",35,9,6,27,5,33,REPORT,"182.853,60","3.355.991,60",8,"7.618,90","0,00",412,"147,93","0,00",6.505,"30,00","0,00"
"Du, 21 noiembrie 2021",15,1,14,20,28,29,REPORT,"419.982,00","3.173.138,00",6,"23.332,33","0,00",423,"330,95","0,00",8.357,"30,00","0,00"
"Jo, 18 noiembrie 2021",33,22,27,37,21,35,REPORT,"234.860,40","2.753.156,00",8,"9.785,85","0,00",200,"391,43","0,00",4.095,"30,00","0,00"
"Du, 14 noiembrie 2021",1,38,34,22,45,13,REPORT,"430.846,80","2.518.295,60",7,"31.024,80","0,00",387,"371,09","0,00",7.31,"30,00","0,00"
"Jo, 11 noiembrie 2021",39,22,46,30,9,33,REPORT,"220.674,00","2.087.448,80",REPORT,"73.558,00","73.558,00",205,"358,81","0,00",3.672,"30,00","0,00"
"Du, 7 noiembrie 2021",19,8,14,48,37,40,REPORT,"382.874,40","1.866.774,80",7,"18.232,11","0,00",372,"343,07","0,00",6.873,"30,00","0,00"
"Jo, 4 noiembrie 2021",28,44,24,1,38,4,REPORT,"196.808,40","1.483.900,40",3,"21.867,60","0,00",218,"300,93","0,00",3.875,"30,00","0,00"
"Du, 31 octombrie 2021",6,29,49,9,39,27,REPORT,"338.367,60","1.287.092,00",14,"8.056,37","0,00",480,"234,97","0,00",7.77,"30,00","0,00"
"Jo, 28 octombrie 2021",25,4,1,7,35,20,REPORT,"173.037,60","948.724,40",6,"9.613,20","0,00",268,"215,22","0,00",4.361,"30,00","0,00"
"Du, 24 octombrie 2021",33,5,12,27,16,24,REPORT,"275.686,80","775.686,80",23,"3.995,46","0,00",815,"112,75","0,00",11.195,"30,00","0,00"
"Jo, 21 octombrie 2021",25,21,24,4,8,2,1,"7.646.117,84","0,00",7,"10.126,80","0,00",360,"196,91","0,00",5.958,"30,00","0,00"
"Du, 17 octombrie 2021",13,24,11,10,6,18,REPORT,"329.707,20","7.433.455,04",25,"4.396,09","0,00",1.017,"108,06","0,00",14.186,"30,00","0,00"
"Jo, 14 octombrie 2021",38,13,33,27,2,39,REPORT,"234.546,00","7.103.747,84",6,"13.030,33","0,00",336,"232,68","0,00",5.589,"30,00","0,00"
"Du, 10 octombrie 2021",48,32,7,27,12,42,REPORT,"617.573,04","6.869.201,84",16,"12.866,10","0,00",511,"402,85","0,00",8.498,"30,00","0,00"
"Jo, 7 octombrie 2021",10,6,30,2,17,1,REPORT,"192.097,20","6.151.628,80",6,"10.672,06","0,00",402,"159,28","0,00",6.018,"30,00","0,00"
"Du, 3 octombrie 2021",45,3,35,20,21,32,REPORT,"455.199,60","5.959.531,60",1,"151.733,20","0,00",285,"532,39","0,00",6.416,"30,00","0,00"
"Jo, 30 septembrie 2021",8,5,24,16,23,36,REPORT,"190.956,00","5.504.332,00",8,"7.956,50","0,00",500,"127,30","0,00",6.791,"30,00","0,00"
"Du, 26 septembrie 2021",16,33,11,6,32,35,REPORT,"451.218,00","5.313.376,00",5,"30.081,20","0,00",315,"477,47","0,00",7.265,"30,00","0,00"
"Jo, 23 septembrie 2021",30,40,13,1,48,3,REPORT,"249.320,40","4.862.158,00",2,"41.553,40","0,00",221,"376,04","0,00",4.321,"30,00","0,00"
"Du, 19 septembrie 2021",8,12,19,6,11,10,REPORT,"353.496,00","4.612.837,60",30,"3.927,73","0,00",1.016,"115,97","0,00",13.962,"30,00","0,00"
"Jo, 16 septembrie 2021",9,12,25,13,32,40,REPORT,"242.128,80","4.259.341,60",3,"26.903,20","0,00",282,"286,20","0,00",5.65,"30,00","0,00"
"Du, 12 septembrie 2021",41,49,34,12,14,45,REPORT,"445.514,40","3.475.090,40",1,"148.504,80","0,00",234,"634,63","0,00",5.526,"30,00","0,00"
"Jo, 9 septembrie 2021",47,36,13,19,49,38,REPORT,"250.617,60","3.029.576,00",3,"27.846,40","0,00",240,"348,08","0,00",4.631,"30,00","0,00"
"Du, 5 septembrie 2021",46,8,25,19,37,41,REPORT,"420.171,60","2.778.958,40",13,"10.773,63","0,00",523,"267,79","0,00",8.165,"30,00","0,00"
"Jo, 2 septembrie 2021",16,7,18,42,19,36,REPORT,"225.927,60","2.358.786,80",4,"18.827,30","0,00",305,"246,91","0,00",5.36,"30,00","0,00"
"Du, 29 august 2021",17,36,32,27,19,5,REPORT,"355.414,80","2.132.859,20",20,"5.923,58","0,00",713,"166,15","0,00",11.019,"30,00","0,00"
"Jo, 26 august 2021",49,1,8,48,3,38,REPORT,"254.685,60","1.777.444,40",3,"28.298,40","0,00",200,"424,47","0,00",3.599,"30,00","0,00"
"Du, 22 august 2021",34,48,4,46,7,24,REPORT,"420.054,00","1.522.758,80",5,"28.003,60","0,00",322,"434,83","0,00",6.942,"30,00","0,00"
"Jo, 19 august 2021",40,38,5,25,7,13,REPORT,"196.941,60","1.102.704,80",2,"32.823,60","0,00",358,"183,37","0,00",5.894,"30,00","0,00"
"Du, 15 august 2021",18,46,39,26,10,34,REPORT,"405.763,20","905.763,20",12,"11.271,20","0,00",512,"264,16","0,00",7.472,"30,00","0,00"
"Jo, 12 august 2021",25,42,10,28,5,3,1,"4.434.971,20","0,00",3,"24.087,60","0,00",354,"204,13","0,00",6.566,"30,00","0,00"
"Du, 8 august 2021",4,7,25,36,20,14,REPORT,"373.482,00","4.218.182,80",13,"9.576,46","0,00",717,"173,63","0,00",10.939,"30,00","0,00"
"Jo, 5 august 2021",23,41,28,35,30,25,REPORT,"244.170,00","3.844.700,80",1,"81.390,00","0,00",188,"432,92","0,00",3.763,"30,00","0,00"
"Du, 1 august 2021",5,33,13,11,35,46,REPORT,"361.057,20","3.600.530,80",5,"24.070,48","0,00",594,"202,61","0,00",9.896,"30,00","0,00"
"Jo, 29 iulie 2021",23,48,20,26,6,38,REPORT,"227.071,20","3.239.473,60",1,"75.690,40","0,00",228,"331,97","0,00",4.099,"30,00","0,00"
"Du, 25 iulie 2021",25,22,20,27,48,42,REPORT,"426.418,80","3.012.402,40",6,"23.689,93","0,00",316,"449,80","0,00",6.832,"30,00","0,00"
"Jo, 22 iulie 2021",1,42,47,11,10,21,REPORT,"233.725,20","2.585.983,60",1,"77.908,40","0,00",244,"319,29","0,00",4.4,"30,00","0,00"
"Jo, 31 decembrie 2020",25,38,41,1,10,36,REPORT,"908.479,20","2.944.123,68",32,"9.463,32","0,00",994,"304,65","0,00",16.215,"30,00","0,00"
"Jo, 24 decembrie 2020",43,20,2,8,31,30,REPORT,"605.864,88","2.035.644,48",9,"22.439,44","0,00",325,"621,39","0,00",6.541,"30,00","0,00"
"Du, 20 decembrie 2020",46,27,44,5,16,42,REPORT,"333.375,60","1.329.779,60",4,"27.781,30","0,00",290,"383,19","0,00",5.243,"30,00","0,00"
"Jo, 17 decembrie 2020",12,49,38,39,45,29,REPORT,"177.188,40","996.404,00",1,"59.062,80","0,00",89,"663,62","0,00",2.057,"30,00","0,00"
"Du, 13 decembrie 2020",15,23,8,36,5,47,REPORT,"209.410,80","819.215,60",10,"6.980,36","0,00",448,"155,81","0,00",6.296,"30,00","0,00"
"Jo, 10 decembrie 2020",20,27,30,31,49,39,REPORT,"125.677,20","609.804,80",2,"20.946,20","0,00",64,"654,56","0,00",1.622,"30,00","0,00"
"Du, 6 decembrie 2020",13,37,26,17,28,16,1,"7.130.807,28","0,00",8,"9.650,90","0,00",342,"225,75","0,00",6.357,"30,00","0,00"
"Jo, 3 decembrie 2020",3,24,4,37,44,9,REPORT,"127.981,20","6.899.185,68",2,"21.330,20","0,00",255,"167,29","0,00",3.479,"30,00","0,00"
"Du, 29 noiembrie 2020",17,43,25,21,8,10,REPORT,"341.936,16","6.771.204,48",3,"37.992,90","0,00",331,"344,34","0,00",5.514,"30,00","0,00"
"Jo, 26 noiembrie 2020",44,3,35,13,28,25,REPORT,"115.296,00","6.329.268,32",6,"6.405,33","0,00",198,"194,10","0,00",3.208,"30,00","0,00"
"Du, 22 noiembrie 2020",43,1,13,25,12,19,REPORT,"188.040,00","6.213.972,32",8,"7.835,00","0,00",336,"186,54","0,00",5.531,"30,00","0,00"
"Jo, 19 noiembrie 2020",23,3,34,27,42,39,REPORT,"116.599,20","6.025.932,32",5,"7.773,28","0,00",143,"271,79","0,00",2.435,"30,00","0,00"
"Du, 15 noiembrie 2020",16,48,17,46,22,10,REPORT,"245.362,80","5.909.333,12",9,"9.087,51","0,00",178,"459,48","0,00",3.956,"30,00","0,00"
"Jo, 12 noiembrie 2020",38,14,5,21,31,12,REPORT,"127.663,20","5.663.970,32",1,"42.554,40","0,00",148,"287,52","0,00",2.391,"30,00","0,00"
"Du, 8 noiembrie 2020",46,18,20,14,48,5,REPORT,"264.192,00","5.536.307,12",3,"29.354,66","0,00",166,"530,50","0,00",4.431,"30,00","0,00"
"Jo, 5 noiembrie 2020",4,34,12,25,40,1,REPORT,"148.884,00","5.272.115,12",3,"16.542,66","0,00",131,"378,83","0,00",2.674,"30,00","0,00"
"Du, 1 noiembrie 2020",33,24,4,40,12,18,REPORT,"271.346,40","5.123.231,12",10,"9.044,88","0,00",424,"213,32","0,00",6.351,"30,00","0,00"
"Jo, 29 octombrie 2020",4,18,31,8,38,42,REPORT,"154.070,40","4.851.884,72",5,"10.271,36","0,00",137,"374,86","0,00",2.662,"30,00","0,00"
"Du, 25 octombrie 2020",36,35,3,24,31,8,REPORT,"315.900,00","4.697.814,32",4,"26.325,00","0,00",331,"318,12","0,00",6.334,"30,00","0,00"
"Jo, 22 octombrie 2020",36,33,30,4,17,25,REPORT,"170.971,20","4.381.914,32",12,"4.749,20","0,00",314,"181,49","0,00",4.116,"30,00","0,00"
"Du, 18 octombrie 2020",48,10,36,2,27,23,REPORT,"516.103,92","4.210.943,12",18,"9.557,48","0,00",642,"267,96","0,00",9.917,"30,00","0,00"
"Jo, 15 octombrie 2020",25,1,13,23,37,7,REPORT,"190.838,40","3.594.839,20",12,"5.301,06","0,00",504,"126,21","0,00",7.437,"30,00","0,00"
"Du, 11 octombrie 2020",10,33,6,4,7,36,REPORT,"361.651,20","3.404.000,80",2,"60.275,20","0,00",439,"274,60","0,00",9.254,"30,00","0,00"
"Jo, 8 octombrie 2020",4,39,27,23,1,15,REPORT,"187.640,40","3.042.349,60",5,"12.509,36","0,00",258,"242,42","0,00",4.407,"30,00","0,00"
"Du, 4 octombrie 2020",48,9,1,30,5,14,REPORT,"366.418,80","2.854.709,20",5,"24.427,92","0,00",457,"267,26","0,00",8.716,"30,00","0,00"
"Jo, 1 octombrie 2020",23,15,11,47,35,29,REPORT,"193.375,20","2.488.290,40",9,"7.162,04","0,00",383,"168,29","0,00",4.856,"30,00","0,00"
"Du, 27 septembrie 2020",9,23,45,21,13,4,REPORT,"324.400,80","2.294.915,20",18,"6.007,42","0,00",781,"138,45","0,00",11.255,"30,00","0,00"
"Jo, 24 septembrie 2020",2,42,39,22,34,43,REPORT,"220.539,60","1.970.514,40",5,"14.702,64","0,00",104,"706,85","0,00",2.619,"30,00","0,00"
"Du, 20 septembrie 2020",34,4,2,3,35,46,REPORT,"422.523,60","1.749.974,80",3,"46.947,06","0,00",211,"667,49","0,00",4.934,"30,00","0,00"
"Jo, 17 septembrie 2020",8,12,47,40,6,30,REPORT,"193.938,00","1.327.451,20",3,"21.548,66","0,00",195,"331,51","0,00",3.562,"30,00","0,00"
"Du, 13 septembrie 2020",41,39,33,3,16,9,1,"3.375.310,00","0,00",19,"6.869,07","0,00",565,"230,99","0,00",8.243,"30,00","0,00"
"Jo, 10 septembrie 2020",28,9,18,3,43,37,REPORT,"211.219,20","2.983.772,80",4,"17.601,60","0,00",317,"222,10","0,00",5.073,"30,00","0,00"
"Du, 6 septembrie 2020",34,9,46,37,3,2,REPORT,"413.680,80","2.772.553,60",5,"27.578,72","0,00",300,"459,64","0,00",6.695,"30,00","0,00"
"Jo, 3 septembrie 2020",29,48,34,12,36,8,REPORT,"196.272,00","2.358.872,80",5,"13.084,80","0,00",261,"250,66","0,00",4.254,"30,00","0,00"
"Du, 30 august 2020",49,1,14,45,18,42,REPORT,"412.650,00","2.162.600,80",5,"27.510,00","0,00",265,"519,05","0,00",5.526,"30,00","0,00"
"Jo, 27 august 2020",26,39,17,10,43,19,REPORT,"189.836,40","1.749.950,80",6,"10.546,46","0,00",258,"245,26","0,00",4.365,"30,00","0,00"
"Du, 23 august 2020",47,4,18,20,2,6,REPORT,"366.610,80","1.560.114,40",5,"24.440,72","0,00",354,"345,20","0,00",6.97,"30,00","0,00"
"Jo, 20 august 2020",40,27,26,30,12,11,REPORT,"193.503,60","1.193.503,60",6,"10.750,20","0,00",169,"381,66","0,00",3.682,"30,00","0,00"
"Du, 16 august 2020",47,11,17,35,3,29,1,"7.701.195,92","0,00",22,"6.700,81","0,00",801,"184,04","0,00",11.232,"30,00","0,00"
"Jo, 13 august 2020",12,38,27,35,30,6,REPORT,"250.594,80","7.258.941,92",7,"11.933,08","0,00",276,"302,65","0,00",5.23,"30,00","0,00"
"Ma, 31 decembrie 2019",25,16,5,46,35,6,REPORT,"1.180.255,00","2.180.255,00",28,"21.075,98","0,00",1.4,"421,51","0,00",26.756,"30,00","0,00"
"Du, 22 decembrie 2019",9,39,16,3,44,24,1,"22.954.442,36","0,00",40,"13.325,99","0,00",1.268,"420,37","0,00",19.168,"30,00","0,00"
"Jo, 19 decembrie 2019",8,5,16,26,31,17,REPORT,"308.926,40","21.788.362,56",18,"12.871,93","0,00",699,"331,46","0,00",11.504,"30,00","0,00"
"Du, 15 decembrie 2019",34,41,3,12,16,2,REPORT,"498.336,80","21.479.436,16",13,"28.750,20","0,00",627,"596,09","0,00",12.768,"30,00","0,00"
"Jo, 12 decembrie 2019",17,2,47,40,22,19,REPORT,"406.268,40","20.981.099,36",10,"13.542,28","0,00",369,"366,99","0,00",7.441,"30,00","0,00"
"Du, 8 decembrie 2019",43,45,34,27,12,23,REPORT,"645.495,60","20.574.830,96",40,"5.379,13","0,00",988,"217,77","0,00",14.171,"30,00","0,00"
"Jo, 5 decembrie 2019",28,36,33,22,43,37,REPORT,"384.950,40","19.929.335,36",7,"18.330,97","0,00",377,"340,36","0,00",6.71,"30,00","0,00"
"Du, 1 decembrie 2019",40,22,5,33,2,32,REPORT,"795.364,80","18.527.114,16",2,"132.560,80","0,00",475,"558,15","0,00",11.035,"30,00","0,00"
"Jo, 28 noiembrie 2019",40,4,8,10,1,12,REPORT,"397.431,60","17.731.749,36",16,"8.279,82","0,00",655,"202,25","0,00",10.096,"30,00","0,00"
"Du, 24 noiembrie 2019",13,37,44,25,21,49,REPORT,"600.688,80","17.334.317,76",25,"8.009,18","0,00",947,"211,43","0,00",13.805,"30,00","0,00"
"Jo, 21 noiembrie 2019",4,42,46,43,5,35,REPORT,"386.170,80","16.733.628,96",1,"128.723,60","0,00",202,"637,24","0,00",5.181,"30,00","0,00"
"Du, 17 noiembrie 2019",11,17,15,49,33,6,REPORT,"934.858,56","16.347.458,16",20,"15.580,97","0,00",931,"334,71","0,00",15.538,"30,00","0,00"
"Jo, 14 noiembrie 2019",27,17,30,8,13,16,REPORT,"311.124,00","15.312.599,60",22,"4.714,00","0,00",700,"148,15","0,00",11.02,"30,00","0,00"
"Du, 10 noiembrie 2019",10,36,23,12,28,46,REPORT,"806.658,00","15.001.475,60",23,"11.690,69","0,00",801,"335,68","0,00",14.03,"30,00","0,00"
"Jo, 7 noiembrie 2019",6,19,44,33,37,2,REPORT,"291.456,00","14.094.817,60",9,"10.794,66","0,00",443,"219,30","0,00",6.99,"30,00","0,00"
"Du, 3 noiembrie 2019",39,48,1,43,40,31,REPORT,"630.709,20","13.803.361,60",8,"26.279,55","0,00",276,"761,72","0,00",6.454,"30,00","0,00"
"Jo, 31 octombrie 2019",38,22,27,24,30,21,REPORT,"286.628,40","13.172.652,40",4,"23.885,70","0,00",250,"382,17","0,00",5.271,"30,00","0,00"
"Du, 27 octombrie 2019",44,9,41,1,49,5,REPORT,"538.976,40","12.886.024,00",6,"29.943,13","0,00",477,"376,64","0,00",8.959,"30,00","0,00"
"Jo, 24 octombrie 2019",49,6,27,20,26,28,REPORT,"322.758,00","12.347.047,60",7,"15.369,42","0,00",219,"491,26","0,00",4.839,"30,00","0,00"
"Du, 20 octombrie 2019",32,36,47,49,18,7,REPORT,"656.489,52","11.924.289,60",9,"24.314,42","0,00",424,"516,10","0,00",8.405,"30,00","0,00"
"Jo, 17 octombrie 2019",21,41,15,5,6,45,REPORT,"350.001,36","11.167.800,08",3,"38.889,04","0,00",233,"500,71","0,00",4.915,"30,00","0,00"
"Du, 13 octombrie 2019",42,23,35,44,32,1,REPORT,"692.051,04","10.717.798,72",3,"76.894,56","0,00",415,"555,86","0,00",7.644,"30,00","0,00"
"Jo, 10 octombrie 2019",21,41,49,30,31,2,REPORT,"271.407,60","9.925.747,68",5,"18.093,84","0,00",264,"342,68","0,00",4.08,"30,00","0,00"
"Du, 6 octombrie 2019",10,29,6,19,38,45,REPORT,"448.796,40","9.654.340,08",21,"7.123,75","0,00",674,"221,95","0,00",11.356,"30,00","0,00"
"Jo, 3 octombrie 2019",36,7,11,15,48,8,REPORT,"238.413,60","9.205.543,68",7,"11.353,02","0,00",324,"245,28","0,00",5.962,"30,00","0,00"
"Du, 29 septembrie 2019",14,26,48,43,40,10,REPORT,"525.075,60","8.967.130,08",10,"17.502,52","0,00",351,"498,64","0,00",7.322,"30,00","0,00"
"Jo, 26 septembrie 2019",22,37,27,45,43,40,REPORT,"272.162,40","8.442.054,48",3,"30.240,26","0,00",173,"524,39","0,00",3.886,"30,00","0,00"
"Du, 22 septembrie 2019",25,24,27,17,29,20,REPORT,"458.314,80","8.169.892,08",14,"10.912,25","0,00",572,"267,08","0,00",10.777,"30,00","0,00"
"Jo, 19 septembrie 2019",5,27,43,18,47,19,REPORT,"244.831,20","7.711.577,28",3,"27.203,46","0,00",326,"250,33","0,00",5.625,"30,00","0,00"
"Du, 15 septembrie 2019",27,45,25,8,10,39,REPORT,"460.627,20","6.830.040,88",10,"15.354,24","0,00",568,"270,32","0,00",10.034,"30,00","0,00"
"Jo, 12 septembrie 2019",8,10,30,26,42,6,REPORT,"238.816,80","6.369.413,68",4,"19.901,40","0,00",331,"240,50","0,00",5.691,"30,00","0,00"
"Du, 8 septembrie 2019",43,4,48,29,44,23,REPORT,"494.850,00","6.130.596,88",6,"27.491,66","0,00",398,"414,44","0,00",8.397,"30,00","0,00"
"Jo, 5 septembrie 2019",21,40,3,13,30,6,REPORT,"232.620,00","5.635.746,88",9,"8.615,55","0,00",337,"230,08","0,00",5.481,"30,00","0,00"
"Du, 1 septembrie 2019",36,19,38,44,6,20,REPORT,"458.590,80","5.403.126,88",7,"21.837,65","0,00",446,"342,74","0,00",8.647,"30,00","0,00"
"Jo, 29 august 2019",25,1,13,34,28,30,REPORT,"242.672,40","4.944.536,08",5,"16.178,16","0,00",304,"266,08","0,00",5.617,"30,00","0,00"
"Du, 25 august 2019",36,29,2,28,16,34,REPORT,"454.766,40","4.701.863,68",11,"13.780,80","0,00",525,"288,74","0,00",9.192,"30,00","0,00"
"Jo, 22 august 2019",39,8,24,46,33,47,REPORT,"255.747,60","4.247.097,28",4,"21.312,30","0,00",233,"365,87","0,00",4.24,"30,00","0,00"
"Du, 18 august 2019",5,40,24,20,8,27,REPORT,"427.488,00","3.991.349,68",12,"11.874,66","0,00",605,"235,53","0,00",10.602,"30,00","0,00"
"Jo, 15 august 2019",6,7,9,37,30,31,REPORT,"300.562,80","3.563.861,68",3,"95.665,30","0,00",270,"371,06","0,00",6.101,"30,00","0,00"
"Du, 11 august 2019",25,45,44,37,27,42,REPORT,"560.424,96","3.263.298,88",REPORT,"186.808,32","186.808,32",267,"699,65","0,00",6.658,"30,00","0,00"
"Jo, 8 august 2019",22,30,31,29,10,4,REPORT,"215.433,60","2.602.873,92",6,"11.968,53","0,00",270,"265,96","0,00",4.653,"30,00","0,00"
"Du, 4 august 2019",22,26,42,6,7,24,REPORT,"386.756,40","2.387.440,32",5,"25.783,76","0,00",447,"288,40","0,00",9.829,"30,00","0,00"
"Jo, 1 august 2019",6,3,48,25,2,47,REPORT,"210.180,00","2.000.683,92",4,"17.515,00","0,00",190,"368,73","0,00",3.897,"30,00","0,00"
"Du, 28 iulie 2019",32,40,20,35,4,23,REPORT,"532.293,12","1.790.503,92",11,"16.130,09","0,00",294,"603,50","0,00",5.946,"30,00","0,00"
"Jo, 25 iulie 2019",32,7,40,1,37,11,REPORT,"212.898,00","1.158.210,80",5,"14.193,20","0,00",184,"385,68","0,00",3.707,"30,00","0,00"
"Du, 21 iulie 2019",1,40,27,35,28,37,REPORT,"445.312,80","695.312,80",2,"74.218,80","0,00",234,"634,34","0,00",5.387,"30,00","0,00"
"Jo, 18 iulie 2019",41,16,27,24,4,37,1,"4.651.706,40","0,00",8,"10.601,70","0,00",345,"245,83","0,00",5.469,"30,00","0,00"
"Du, 14 iulie 2019",15,21,28,38,26,13,REPORT,"461.426,40","4.397.265,60",8,"19.226,10","0,00",576,"267,02","0,00",11.398,"30,00","0,00"
"Jo, 11 iulie 2019",42,28,31,3,23,38,REPORT,"248.630,40","3.935.839,20",2,"41.438,40","0,00",214,"387,27","0,00",4.129,"30,00","0,00"
